blank,,,,,50 ul10_3,,50 ul10_4,,50 ul10_5,,50 ul10_6,,50 ul10_7,,50 ul10_8,,50 ul10_9,,50 ul10_10,,50 ul10_11,,50 ul10_12,,50 ul10_13,,50 ul10_14,,50 ul10_15,,50 ul10_16,,50 ul10_17,,50 ul10_18,,50 ul10_19,,50 ul10_20,,50 ul10_21,,50 ul10_22,,50 ul10_23,,50 ul10_24,,,Wavelength (nm),Abs,Abs,Abs,Abs,Abs,Abs,Abs,Abs,Abs
Wavelength (nm),Abs,Abs,Abs,Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,,799.9904175,0.002851621,0.001112942,0.002207513,0.001254692,0.001485337,0.002947285,0.001837956,0.001519469,0.001141517
799.9904175,5.92E-05,0.002380462,0.002851621,0.002390822,799.9904175,0.002074634,799.9904175,0.001112942,799.9904175,0.002473133,799.9904175,0.002972227,799.9904175,0.002207513,799.9904175,0.001742848,799.9904175,0.001637809,799.9904175,0.001254692,799.9904175,0.00097028,799.9904175,0.001335411,799.9904175,0.001485337,799.9904175,0.002139378,799.9904175,0.000890432,799.9904175,0.002947285,799.9904175,0.000992151,799.9904175,0.002948927,799.9904175,0.001837956,799.9904175,0.002232959,799.9904175,0.001968371,799.9904175,0.001519469,799.9904175,0.002801986,799.9904175,0.001141517,,798.9856567,0.002933967,0.00090252,-0.000194929,-9.84E-07,0.000986988,0.001761354,0.001302566,0.000929212,0.001492402
798.9856567,0.001205862,0.001633028,0.002933967,0.001086913,798.9856567,0.000645247,798.9856567,0.00090252,798.9856567,0.002033046,798.9856567,0.00295784,798.9856567,-0.000194929,798.9856567,0.00069028,798.9856567,0.001878304,798.9856567,-9.84E-07,798.9856567,0.000295356,798.9856567,0.001736611,798.9856567,0.000986988,798.9856567,0.000633918,798.9856567,0.001116394,798.9856567,0.001761354,798.9856567,0.000844185,798.9856567,0.001967148,798.9856567,0.001302566,798.9856567,0.000694221,798.9856567,-9.80E-05,798.9856567,0.000929212,798.9856567,0.002366121,798.9856567,0.001492402,,798.0150757,0.002483442,0.002705208,0.000638999,0.001355379,0.002272433,0.001153638,0.000243008,0.001828962,0.00134398
798.0150757,-0.000390702,0.001344214,0.002483442,0.001146656,798.0150757,0.002636057,798.0150757,0.002705208,798.0150757,0.001591327,798.0150757,0.003098107,798.0150757,0.000638999,798.0150757,0.002282894,798.0150757,0.001647085,798.0150757,0.001355379,798.0150757,0.001400616,798.0150757,0.002532884,798.0150757,0.002272433,798.0150757,0.001168692,798.0150757,0.001785838,798.0150757,0.001153638,798.0150757,0.001279018,798.0150757,0.003020656,798.0150757,0.000243008,798.0150757,0.002201555,798.0150757,0.001459026,798.0150757,0.001828962,798.0150757,0.00160954,798.0150757,0.00134398,,797.0095825,0.001947698,0.001538588,0.002595353,0.001504585,0.00236711,0.001365325,0.002029067,0.000899147,0.001102068
797.0095825,-4.41E-05,0.00159008,0.001947698,0.001499494,797.0095825,0.001810688,797.0095825,0.001538588,797.0095825,0.000387712,797.0095825,0.001899025,797.0095825,0.002595353,797.0095825,0.001009301,797.0095825,0.001486506,797.0095825,0.001504585,797.0095825,0.001569659,797.0095825,0.000909134,797.0095825,0.00236711,797.0095825,0.00126344,797.0095825,0.000584355,797.0095825,0.001365325,797.0095825,0.001724344,797.0095825,0.001593405,797.0095825,0.002029067,797.0095825,0.000729224,797.0095825,0.001542719,797.0095825,0.000899147,797.0095825,0.001957527,797.0095825,0.001102068,,796.00354,0.002562724,0.00261129,0.002596498,0.002578296,0.001444896,0.001513079,0.002106576,0.001156,0.00233809
796.00354,0.000699355,0.001731283,0.002562724,0.002880857,796.00354,0.002310894,796.00354,0.00261129,796.00354,0.003218938,796.00354,0.003135312,796.00354,0.002596498,796.00354,0.002445382,796.00354,0.003021334,796.00354,0.002578296,796.00354,0.001723876,796.00354,0.001960102,796.00354,0.001444896,796.00354,0.001488974,796.00354,0.002043762,796.00354,0.001513079,796.00354,0.001348394,796.00354,0.002834711,796.00354,0.002106576,796.00354,0.002385668,796.00354,0.002644,796.00354,0.001156,796.00354,0.002140678,796.00354,0.00233809,,794.9971924,0.002491044,0.003075843,0.0032657,0.001684037,0.003149392,0.001020562,0.00088955,0.003019874,0.002898082
794.9971924,0.001449234,0.002913223,0.002491044,0.002795421,794.9971924,0.00284013,794.9971924,0.003075843,794.9971924,0.002239438,794.9971924,0.001797171,794.9971924,0.0032657,794.9971924,0.002133941,794.9971924,0.00246639,794.9971924,0.001684037,794.9971924,0.002946998,794.9971924,0.002304675,794.9971924,0.003149392,794.9971924,0.002880805,794.9971924,0.003327439,794.9971924,0.001020562,794.9971924,0.003225641,794.9971924,0.001225538,794.9971924,0.00088955,794.9971924,0.002245449,794.9971924,0.002685022,794.9971924,0.003019874,794.9971924,0.002116746,794.9971924,0.002898082,,793.9904175,0.003047636,0.00340544,0.002654444,0.00322019,0.001442169,0.001275201,0.002717633,0.003365185,0.002829421
793.9904175,0.00169004,0.003704061,0.003047636,0.003693697,793.9904175,0.003874813,793.9904175,0.00340544,793.9904175,0.002914812,793.9904175,0.003138363,793.9904175,0.002654444,793.9904175,0.001697602,793.9904175,0.003072193,793.9904175,0.00322019,793.9904175,0.002723103,793.9904175,0.003064581,793.9904175,0.001442169,793.9904175,0.003389943,793.9904175,0.003008457,793.9904175,0.001275201,793.9904175,0.004144931,793.9904175,0.003004756,793.9904175,0.002717633,793.9904175,0.002121845,793.9904175,0.002608217,793.9904175,0.003365185,793.9904175,0.002725031,793.9904175,0.002829421,,792.9832153,0.002147832,0.002796307,0.001185953,-9.76E-05,0.001325155,0.002019522,0.002353654,0.001625051,0.001199944
792.9832153,0.000861537,0.001009794,0.002147832,0.003318126,792.9832153,0.001272293,792.9832153,0.002796307,792.9832153,0.001375374,792.9832153,0.001588962,792.9832153,0.001185953,792.9832153,0.001493727,792.9832153,0.000672676,792.9832153,-9.76E-05,792.9832153,0.002176007,792.9832153,0.001346551,792.9832153,0.001325155,792.9832153,-5.83E-05,792.9832153,0.001639368,792.9832153,0.002019522,792.9832153,0.00240355,792.9832153,0.00109584,792.9832153,0.002353654,792.9832153,0.00182644,792.9832153,0.000668579,792.9832153,0.001625051,792.9832153,0.000848335,792.9832153,0.001199944,,792.010376,0.001348213,0.001331517,0.000417068,-0.000158393,0.000471639,0.00070887,0.000275126,0.000895697,-5.65E-05
792.010376,-0.001475528,-0.000155185,0.001348213,0.000444068,792.010376,0.000224489,792.010376,0.001331517,792.010376,6.52E-06,792.010376,6.11E-06,792.010376,0.000417068,792.010376,0.000491231,792.010376,0.000732258,792.010376,-0.000158393,792.010376,0.000972848,792.010376,-2.93E-05,792.010376,0.000471639,792.010376,0.000664794,792.010376,0.000720771,792.010376,0.00070887,792.010376,0.001079932,792.010376,0.00053306,792.010376,0.000275126,792.010376,-0.000407823,792.010376,0.000259766,792.010376,0.000895697,792.010376,0.000847894,792.010376,-5.65E-05,,791.0023804,0.002215865,0.002221719,0.002633713,0.00185774,0.001916367,0.00177266,0.000989945,0.002456159,0.001648671
